Date	Wake time 	Bed time	Sleep hours	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Deep work 6	Total Deep Work (h)
December 1	5:58 AM	10:57 PM	7.6	10	1	1	80	1.50	1.22	0.80	0.50			4.02
December 2	6:00 AM	10:01 PM	7	12	0	1	63	1.33	0.67	0.83				2.83
December 3	6:00 AM	10:44 PM	7.9	14	1	1	80	1.50	1.38	1.07	0.50	0.78		5.23
December 4	5:58 AM	10:01 PM	7.2	16	1	1	73	1.67	1.22	0.80	0.57	0.82		5.08
December 5	5:58 AM	9:44 PM	8.3	5	0	1	71	1.50	2.50	0.50	0.38	0.50	0.32	5.70
December 6	5:55 AM	10:10 PM	8.1	20	1	0	80	1.47	2.17	2.10				5.74
December 7	5:55 AM	10:59 PM	7.8	15	1	1	75	1.00	2.08	1.90				4.98
December 8	5:55 AM	9:20 PM	6.9	3	0	0	63	0.75	0.27	1.03	1.00	0.67	2.17	5.89
December 9	6:05 AM	10:38 PM	8.7	15	1	1	77	1.60	1.55	0.50	0.80	1.77	0.62	6.84
December 10	6:00 AM	10:00 PM	7.2	11	0	0	83	1.50	2.20	2.00				5.70
December 11	6:08 AM	10:59 PM	7.8	3	1	0	80	1.80	1.63	0.55				3.98
December 12	6:18 AM	10:18 PM	7.8	10	1	1	72	2.00	1.33	2.33				5.66
December 13	6:10 AM	10:30 PM	7.6	5	0	0		2.33						2.33
December 14
December 15	8:00 AM	9:54 PM	9.8	5	1	0	78	1.10	0.92	1.00				3.02
December 16	5:55 AM	9:54 PM	8	12	1	0	68	2.37	1.27	0.42				4.06
December 17	6:00 AM	10:04 PM	9.3	13	1	0	58	2.13	1.08	0.88	1.10	0.65	0.55	6.39
December 18	6:00 AM	10:50 PM	7.8	14	1	0	70	1.60	1.50	1.38	0.83			5.31
December 19	6:00 AM	10:40 PM	6.7	13	0	1	62	1.50	1.50	1.50				4.50
December 20	6:00 AM	10:25 PM	6.6	14	0	0	85	1.82	1.40					3.22
December 21	6:00 AM		7	14	0	1
December 22	6:00 AM	9:38 PM	8.3	14	0	0	83	1.55	1.48	1.50	1.48	1.12		7.13
December 23	6:00 AM	10:50 PM	7.2	14	0	0	85	1.55	1.63	0.97				4.15
December 24	6:00 AM	10:57 PM	8.6	14	0	1	87	2.03	1.90	0.90				4.83
December 25
December 26
December 27							83	1.03	1.62	1.32				3.97
December 28	5:58 AM	9:29 PM	8.4	14	1	0	89	1.97	1.50	1.68	1.07			6.22
December 29	5:58 AM	9:53 PM	8.4	14	0	1	86	2.00	1.37	2.07	0.27	0.92		6.63
December 30	6:00 AM	10:35 PM	8	13	0	1	60	1.30	0.33					1.63
December 31	6:00 AM	10:01 PM	7.3	13	0	0		2.58	2.15	1.00	1.17			6.90
Date	Wake time 	Bed time	Sleep hours	Sleepscore	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Total Deep Work (h)	Timetable
January 1	6:00 AM	9:35 PM	8.18	89%	14	0	0	76	2.00					2.00	19.70
January 2	6:00 AM	9:39 PM	8.37	90%	15	0	0	80	2.00	1.50	1.50	1.63	0.87	7.50	54.50
January 3	6:00 AM	10:03 PM	8.25	94%	15	0	0	76	2.53	0.92				3.45	49.50
January 4	6:00 AM	9:27 PM	7.87	82%	15	0	0	85	2.07	1.00	0.57	2.00		5.64	62.50
January 5	6:00 AM	9:48 PM	8.42	82%	15	0	0
January 6	6:00 AM	9:32 PM	8.1	90%	15	1	1	89	1.78	1.55	1.70			5.03	58.00
January 7	6:00 AM	9:35 PM	8.38	94%	8	1	0	76	2.35	2.07	0.27			4.69	36.75
January 8	6:00 AM	10:03 PM	8.33	96%	14	1	0	76	1.23	0.72	1.85	2.00		5.80	41.25
January 9	6:00 AM	9:36 PM	7.88	92%	14	1	0	74	1.03	1.00	0.58	0.50	0.50	3.61	52.50
January 10	6:00 AM	10:00 PM	8.3	94%	10	1	0	65	1.92	1.33				3.25	68.00
January 11	6:00 AM	10:00 PM	7.88	93%	11	1	0	76.7	1.93	1.50	1.42			4.85	63.00
January 12	6:00 AM	9:11 PM	7.87	87%	5	1	0
January 13	6:00 AM	9:26 PM	8.72	92%	11	1	0	77.5	2.22	1.42				3.64	50.25
January 14	6:00 AM	10:14 PM	8.50	95%	14	1	0	76.25	2.00	1.75	0.50	1.92		6.17	46.75
January 15	6:00 AM	9:33 PM	7.7	90%	11	1	1	73.75	1.50	1.50	1.50	1.00		5.50	96.00
January 16	6:00 AM	9:44 PM	8.38	93%	11	1	1	72.5	1.50	1.50	1.50	1.00		5.50	86.50
January 17	6:00 AM	10:10 PM	8.17	97%	15	1	1	70	1.50	1.50	1.50			4.50	62.25
January 18	6:00 AM	10:14 PM	7.73	94%	12	1	1	57.5	1.50	0.50				2.00	40,25
January 19	6:00 AM	10:44 PM	7.67	91%	12	1	1
January 20	6:00 AM	11:30 PM	7.23	89%	12	0	0	88.3	2.00	1.00	1.33			4.33	52.75
January 21	6:00 AM	11:07 PM	6.43	84%	12	0	0	67.5	2.00	1.08				3.08	34.00
January 22	6:00 AM	9:54 PM	6.83	84%	11	1	0	62.5	2.00	1.50				3.50	43.00
January 23	6:00 AM	10:52 PM	7.98	87%	13	1	1	88.3	2.00	1.50	1.50			5.00	81.00
January 24	6:00 AM	10:57 PM	7.05	86%	13	0	1	76.7	2.00	1.50	1.50			5.00	73.50
January 25	6:00 AM	9:29 PM	6.92	87%	12	0	0	95	2.00					2.00	26.50
January 26	7:00 AM	11:15 PM	9.52	87%	11	0	0
